Radius1,Radius2,Radius3,Volume
0.0,0.0,0.01,0.0077962224732924801
0.0,0.0,0.02,0.014214274035634781
0.0,0.0,0.029999999999999999,0.032933664398776874
0.0,0.0,0.040000000000000001,0.056560206494159361
0.0,0.0,0.050000000000000003,0.087233563477634932
0.0,0.0,0.059999999999999998,0.1228981061834175
0.0,0.0,0.070000000000000007,0.16154442757053475
0.0,0.0,0.080000000000000002,0.2039632824112366
0.0,0.0,0.089999999999999997,0.24965177210931352
0.0,0.0,0.10000000000000001,0.29648677358809833
0.0,0.01,0.0,0.0060544110689226965
0.0,0.01,0.01,0.013700552599969487
0.0,0.01,0.02,0.82625052440066227
0.0,0.01,0.029999999999999999,0.038619332423408093
0.0,0.01,0.040000000000000001,0.79013404141654664
0.0,0.01,0.050000000000000003,0.76253174460844031
0.0,0.01,0.059999999999999998,0.12817917060560255
0.0,0.01,0.070000000000000007,0.6970271892204094
0.0,0.01,0.080000000000000002,0.20889194810565689
0.0,0.01,0.089999999999999997,0.6134336883615783
0.0,0.01,0.10000000000000001,0.30115588907157226
0.0,0.02,0.0,0.011132629911602307
0.0,0.02,0.01,0.018745464937765337
0.0,0.02,0.02,0.024959455639877521
0.0,0.02,0.029999999999999999,0.043420514957672816
0.0,0.02,0.040000000000000001,0.066793280243052533
0.0,0.02,0.050000000000000003,0.097154886237120819
0.0,0.02,0.059999999999999998,0.13255794392420064
0.0,0.02,0.070000000000000007,0.17088602283449339
0.0,0.02,0.080000000000000002,0.21299363193698631
0.0,0.02,0.089999999999999997,0.61157853254751737
0.0,0.02,0.10000000000000001,0.30497013415039403
0.0,0.029999999999999999,0.0,0.02607623490628112
0.0,0.029999999999999999,0.01,0.03350371418409346
0.0,0.029999999999999999,0.02,0.039645407757068839
0.0,0.029999999999999999,0.029999999999999999,0.057580389052498661
0.0,0.029999999999999999,0.040000000000000001,0.080640210944770141
0.0,0.029999999999999999,0.050000000000000003,0.11053040366094814
0.0,0.029999999999999999,0.059999999999999998,0.14541040530711644
0.0,0.029999999999999999,0.070000000000000007,0.18347995544018503
0.0,0.029999999999999999,0.080000000000000002,0.22510869588857843
0.0,0.029999999999999999,0.089999999999999997,0.27017895802515873
0.0,0.029999999999999999,0.10000000000000001,0.31636591757845828
0.0,0.040000000000000001,0.0,0.044695803443920677
0.0,0.040000000000000001,0.01,0.052021089935786656
0.0,0.040000000000000001,0.02,0.058011943327714498
0.0,0.040000000000000001,0.029999999999999999,0.075633793568537264
0.0,0.040000000000000001,0.040000000000000001,0.097874630229668858
0.0,0.040000000000000001,0.050000000000000003,0.12732046472445185
0.0,0.040000000000000001,0.059999999999999998,0.16173097941695491
0.0,0.040000000000000001,0.070000000000000007,0.19898266831393774
0.0,0.040000000000000001,0.080000000000000002,0.24026725013872227
